요일,제목,작가,장르,평점,연령등급,태그
MONDAY,두번째 신의아이,나는야사과될거야 / 쿠키빵,순정,9.80519,15세 이용가,"['로맨스', '현대판타지', '오컬트판타지', '현대', '신화', '가족', '오컬트', '동양풍판타지', '인외존재', '삼각관계', '서스펜스', '빙의', '괴담']"
MONDAY,Dog한 로맨스,보현 / 문써니,순정,9.5662,전체연령가,"['로맨스', '러브코미디', '가족', '능력녀', '로맨틱코미디', '드라마', '동물']"
MONDAY,원하나,비진,드라마,9.8834,15세 이용가,"['드라마', '자극적인', '시리어스', '최강자전', '2021 최강자전', '연예계', '복수극', '구원서사']"
MONDAY,한국에서 히어로 하기 힘들더라,이해력,판타지,9.94027,전체연령가,"['판타지', '독자PICK', '현대판타지', '이능력', '우정', '빌런', '가벼운', '개그', '성장물', '아이돌', '서바이벌']"
MONDAY,티엔다비스 - 완벽한 구원을 위하여,삼공 / 느링 / 김영지,순정,9.93949,전체연령가,"['로맨스', '서양', '왕족/귀족', '능력녀', '로판', '걸크러시', '구원서사', '까칠남', '소설원작']"
MONDAY,여고생이 신인데 나만 괴롭힘,박장고 / 이우,드라마,9.85323,12세 이용가,"['드라마', '러브코미디', '개그', '성장물', '게임판타지', 'sf', '학원물', '성장드라마', '두뇌싸움']"
FRIDAY,광마회귀,JP / 이히 / 유진성,무협,9.96627,15세 이용가,"['무협/사극', '사이다', '세계관', '회귀', '판무', '소설원작']"
FRIDAY,외모지상주의,박태준,드라마,9.44077,15세 이용가,"['드라마', '사이다', '학원액션', '소년물', '참교육', '성장물', '격투기', '학원물', '인플루언서', '복수극', '먼치킨']"
FRIDAY,나 혼자 만렙 뉴비,WAN.Z / 스윙뱃 / 메슬로우,판타지,9.93552,15세 이용가,"['판타지', '레드아이스 스튜디오', '사이다', '하렘', '게임', '상태창', '고인물', '게임판타지', '헌터물', '먼치킨', '소설원작']"
FRIDAY,역대급 영지 설계사,이현민 / 김현수 / 문백경,판타지,9.97772,전체연령가,"['판타지', '판타지개그', '서양', '게임', '왕족/귀족', '개그', '세계관', '게임판타지', '이세계', '소년왕도물', '빙의', '소설원작']"
FRIDAY,재혼 황후,히어리 / 숨풀 / 알파타르트,순정,9.96467,15세 이용가,"['로맨스', '사연녀', '다정남', '후회물', '궁중로맨스', '혐관로맨스', '직진남', '이세계', '역하렘', '연상연하', '삼각관계', '선결혼후연애', '로판', '걸크러시', '소설원작']"
FRIDAY,재입대만 7번째,이진수,드라마,9.88257,15세 이용가,"['드라마', '2024 연재직행열차', '절망적인', '공감', '드라마', '개그', '밀리터리']"
FRIDAY,상남자,하늘소 / 도가도 / 김태궁,드라마,9.96804,15세 이용가,"['드라마', '사이다', '오피스', '청춘', '능력남', '인생역전', '직업드라마', '회귀', '두뇌싸움', '머니게임', '먼치킨', '소설원작']"
